gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
9,12;19;33;53;60;82;107;108;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,4,True
12,4;6;12;31;38;41;65;73;79;85;104;120,64,0,35.209512,3.268435456,38.477947456,0.0,20.0,58.477947456,4,5,True
8,20;33;49;58;74;82;92;101,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,6,True
9,12;15;19;29;44;52;63;88;114,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,7,True
8,22;23;45;68;78;85;92;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,8,True
8,0;2;23;44;63;82;92;95,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,9,True
9,0;1;5;6;19;43;48;92;98,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,10,True
8,15;25;36;48;52;81;120;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,11,True
9,11;18;27;28;39;41;49;71;91,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,12,True
8,27;34;49;63;91;104;119;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,13,True
8,2;5;14;30;92;97;109;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,14,True
9,0;14;25;48;50;58;63;84;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,15,True
9,35;42;46;48;62;91;97;116;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,16,True
8,34;73;80;94;118;122;123;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,17,True
9,32;33;58;74;82;87;112;122;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,18,True
9,12;15;28;29;52;56;63;88;114,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,19,True
8,18;23;40;68;85;92;113;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,20,True
8,2;6;11;26;44;56;63;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,21,True
9,0;1;6;12;31;36;54;71;75,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,22,True
8,36;48;52;75;81;110;120;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,23,True
8,18;20;28;37;89;91;101;106,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,24,True
9,13;34;37;49;72;91;110;119;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,25,True
8,2;5;29;31;72;97;109;113,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,26,True
8,14;24;27;44;51;63;84;118,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,27,True
8,6;23;42;91;100;109;116;122,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,4,28,True
9,13;30;34;39;60;70;94;120;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,4,29,True
