step,layer,active_experts,runtime_gpu_prefix,oracle_gpu_prefix,prefix_match,prefix_delta,prediction_extrapolated,runtime_predicted_objective_us,runtime_selected_actual_objective_us,oracle_objective_us,regret_us,regret_percent
5,10,36,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,11,36,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
5,12,35,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,13,33,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
5,14,38,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,15,33,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,16,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
5,17,38,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
5,18,35,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
5,19,36,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
5,20,37,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,21,34,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
5,22,35,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,23,34,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
5,24,32,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
5,25,34,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
5,26,34,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
5,27,36,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,28,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
5,29,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,30,43,15,15,True,0,False,67.29698464,67.41585664,67.41585664,0.0,0.0
5,31,48,16,16,True,0,False,70.264625728,70.332641728,70.332641728,0.0,0.0
5,32,40,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
5,33,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
5,34,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
5,35,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
5,36,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,37,37,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
5,38,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,39,39,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,40,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
5,41,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
5,42,37,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,43,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
5,44,43,15,15,True,0,False,67.29698464,67.41585664,67.41585664,0.0,0.0
5,45,41,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
5,46,41,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
5,47,34,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
6,0,46,15,15,True,0,False,67.74442400000001,67.766264,67.766264,0.0,0.0
6,1,43,15,15,True,0,False,67.29698464,67.41585664,67.41585664,0.0,0.0
6,2,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
6,3,41,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
6,4,44,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
6,5,44,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
6,6,41,15,15,True,0,False,67.29698464,67.41585664,67.41585664,0.0,0.0
6,7,43,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
6,8,40,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
6,9,41,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
6,10,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
6,11,41,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
6,12,46,15,15,True,0,False,67.74442400000001,67.766264,67.766264,0.0,0.0
6,13,45,15,15,True,0,False,67.292790336,67.19388633599999,67.19388633599999,0.0,0.0
6,14,45,15,15,True,0,False,67.292790336,67.19388633599999,67.19388633599999,0.0,0.0
6,15,43,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
6,16,46,15,15,True,0,False,67.74442400000001,67.766264,67.766264,0.0,0.0
6,17,46,15,15,True,0,False,67.74442400000001,67.766264,67.766264,0.0,0.0
6,18,42,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
6,19,46,15,15,True,0,False,67.74442400000001,67.766264,67.766264,0.0,0.0
6,20,40,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
