gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,0;5;6;10;11;16;17;21;22;27;28;32;92;93;94;111,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,31,True
16,1;2;6;7;12;13;17;18;23;24;28;29;99;100;101;118,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,32,True
16,2;3;8;9;13;14;19;20;24;25;30;31;106;107;108;125,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,33,True
16,4;9;10;15;16;20;21;26;27;31;32;37;38;113;114;115,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,34,True
16,0;5;6;11;16;17;22;23;27;28;33;34;45;120;121;122,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,35,True
16,0;1;2;7;12;13;18;23;24;29;30;34;35;40;52;127,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,36,True
16,3;6;7;8;9;14;19;20;25;30;31;36;37;41;42;59,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,37,True
16,4;5;10;13;14;15;16;21;26;27;32;37;38;43;49;66,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,38,True
16,0;1;5;6;11;12;17;20;21;22;23;28;33;39;56;73,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,39,True
16,1;2;7;8;12;13;18;19;24;27;28;29;30;46;63;80,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,40,True
16,2;3;4;8;9;14;15;19;20;25;34;35;36;53;70;87,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,41,True
16,0;4;5;9;10;11;15;16;21;22;41;42;43;60;77;94,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,42,True
16,0;1;5;6;7;11;12;16;17;18;48;49;50;67;84;101,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,43,True
16,1;2;6;7;8;12;13;14;18;19;55;56;57;74;91;108,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,44,True
16,2;3;4;8;9;13;14;15;19;20;62;63;64;81;98;115,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,45,True
16,4;5;9;10;11;15;16;20;21;22;69;70;71;88;105;122,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,46,True
16,0;1;5;6;11;12;16;17;18;22;23;76;77;78;95;112,31,33,47.121984,3.130023424,50.252007424,50.844768,20.0,70.844768,1,47,True
