gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,7;12;15;19;20;41;43;51;60;73;83;84;105;115;119;121,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,2,40,True
16,2;14;15;20;35;46;52;58;66;83;84;90;97;102;103;117,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,2,41,True
16,5;18;22;24;27;28;32;34;36;37;65;73;76;93;102;125,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,2,42,True
16,2;4;6;12;19;20;26;29;36;40;43;45;49;78;79;127,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,2,43,True
16,3;13;17;20;30;32;37;45;48;54;68;71;79;80;92;121,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,2,44,True
16,1;7;17;22;27;42;46;58;63;70;80;84;85;94;111;112,46,18,46.93884,3.192937984,50.131777984,27.739296,20.0,70.131777984,2,45,True
16,8;17;29;30;31;39;67;75;80;83;84;91;98;104;105;114,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,2,46,True
16,9;27;32;34;35;36;47;52;54;66;71;88;95;111;120;123,46,18,46.93884,3.192937984,50.131777984,27.739296,20.0,70.131777984,2,47,True
16,0;12;17;29;34;41;51;57;61;62;67;69;71;77;83;116,36,28,47.091096,3.150994944,50.242090944,43.13088,20.0,70.242090944,3,0,True
16,3;9;11;16;19;39;45;48;75;76;83;86;88;91;95;115,46,18,46.93884,3.192937984,50.131777984,27.739296,20.0,70.131777984,3,1,True
16,7;8;9;10;15;24;47;68;70;72;87;90;116;117;121;122,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,3,2,True
16,1;7;10;16;26;39;53;76;77;79;84;90;97;105;112;120,50,14,46.958496,3.2097152,50.1682112,21.583224,20.0,70.1682112,3,3,True
16,0;13;23;47;50;63;77;82;83;86;87;93;104;105;111;124,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,3,4,True
16,2;12;13;17;44;51;54;70;80;82;90;95;102;105;111;117,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,3,5,True
16,8;13;25;27;30;32;34;55;56;63;64;80;86;93;96;123,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,3,6,True
16,3;5;9;16;18;28;34;39;45;51;72;73;91;98;109;117,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,3,7,True
16,3;4;8;14;15;19;24;28;38;43;46;59;103;109;116;127,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,3,8,True
16,1;10;18;22;32;33;45;48;49;77;94;102;103;112;114;117,46,18,46.93884,3.192937984,50.131777984,27.739296,20.0,70.131777984,3,9,True
16,5;14;30;32;37;53;70;74;76;80;83;86;104;107;108;123,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,3,10,True
16,0;8;21;23;28;50;58;64;67;69;70;82;86;87;89;109,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,3,11,True
16,9;12;18;25;34;40;56;63;65;68;79;97;113;116;118;120,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,3,12,True
16,4;18;36;42;55;64;66;77;82;83;91;98;102;104;113;121,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,3,13,True
16,6;8;16;28;55;58;64;66;71;75;82;88;90;95;96;107,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,3,14,True
16,6;10;14;16;18;22;31;33;56;59;61;69;70;76;90;123,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,3,15,True
16,4;12;18;19;30;40;43;50;51;73;84;87;103;115;119;121,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,3,16,True
16,1;2;6;18;20;35;45;66;83;92;100;102;103;116;120;126,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,3,17,True
16,8;9;12;16;19;21;25;30;32;34;40;44;56;63;71;109,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,3,18,True
16,3;9;18;25;27;28;34;39;43;45;51;59;79;98;109;122,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,3,19,True
16,3;4;9;14;19;24;29;38;43;46;57;101;103;116;117;127,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,3,20,True
16,0;6;10;13;18;22;32;33;40;49;96;111;112;114;117;122,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,3,21,True
16,5;8;26;30;33;37;51;58;66;69;70;74;78;83;98;108,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,3,22,True
16,0;4;7;8;21;22;50;51;64;65;67;69;82;89;96;125,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,3,23,True
16,2;8;9;12;28;42;49;50;52;56;65;73;79;97;116;118,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,3,24,True
16,4;16;36;42;66;77;82;83;89;91;98;99;102;104;112;113,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,3,25,True
16,0;2;4;6;8;16;55;57;58;64;66;82;95;96;105;107,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,3,26,True
16,3;10;14;16;18;22;23;33;37;56;59;61;76;90;120;123,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,3,27,True
16,4;12;13;16;18;19;22;41;43;45;50;51;73;84;115;119,37,27,47.01216,3.155189248,50.167349248,41.609256,20.0,70.167349248,3,28,True
16,1;2;6;9;13;20;35;61;66;72;79;83;102;103;116;120,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,3,29,True
16,8;21;30;32;34;55;56;64;68;74;80;90;97;100;115;123,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,3,30,True
16,3;28;34;39;44;51;56;60;75;78;91;97;98;109;111;117,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,3,31,True
16,3;4;8;9;13;14;38;43;46;59;101;106;109;116;126;127,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,3,32,True
